kode,nama_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitamin_c_mg,status_makanan,kelompok_makanan,meal_type
EP001,Barongko,159,3.1,5.8,23.5,0,35,65,1.2,46,78,0.3,0.6,0,0,0,0,8,Olahan,Buah,Cemilan
EP002,Dodol nanas,338,1.5,1.2,80.3,0,0,0,0,0,0,0,0,0,0.55,0,0,0,Olahan,Buah,Cemilan
EP003,Getuk pisang,144,1.1,0.4,34.1,0.4,48,32,1,0,0,0,0,0,0.34,0,0,0,Olahan,Buah,Cemilan
EP004,Keripik lampung,485,1.7,22.2,69.7,0.6,43,65,0.8,0,0,0,0,0,0.41,0,0,0,Olahan,Buah,Cemilan
EP005,Ledre pisang,405,4.8,5.1,84.9,0.4,59,124,2.6,0,0,0,0,0,0.05,0,0,0,Olahan,Buah,Cemilan
EP007,Loka anjoro,163,1.1,4.3,30,0,0,0,0,0,0,0,0,0,0,0,0,3,Olahan,Buah,Cemilan
EP008,Rica-rica taipa,49,1.6,0.3,10,0,11,48,3,426,42,0.5,0.5,0,0.14,0,0,0,Olahan,Buah,Cemilan
EP009,Rujak aceh,82,0.4,0.3,19.7,2.4,0,0,0,0,0,0,0,0,0.1,0,0,0,Olahan,Buah,Cemilan
EP010,Sale kesemek,296,1.1,0.6,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Buah,Cemilan
EP011,Sale pisang siam,281,2.4,0.7,66.1,1,41,64,1.2,0,0,0,0,0,0,0,0,0,Olahan,Buah,Cemilan
EP012,"Sale pisang, cilacap",295,2.3,2.1,66.9,1.3,47,97,2.8,0,0,0,0,0,0.22,0.03,0,42,Olahan,Buah,Cemilan
EP013,Sanggara belanda,242,6.4,7.1,38.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Buah,Cemilan
ER001,"Alpukat, segar",85,0.9,6.5,7.7,0,10,20,0.9,2,278,0.2,0.4,0,0.05,0.08,1,13,Tunggal,Buah,Cemilan
ER002,"Anggur hutan, segar",30,0.5,0.2,6.8,1.2,39,12,1.1,0,0,0,0,0,0.01,0,0,3,Tunggal,Buah,Cemilan
ER003,"Apel malang, segar",57,0.5,0.4,12.8,0.8,9,18,0.6,4,175.4,110.16,0,0,0.05,0.03,0.1,5,Tunggal,Buah,Cemilan
ER004,"Apel, segar",58,0.3,0.4,14.9,2.6,6,10,0.3,2,130,124.2,0.3,0,0.04,0.03,0.1,5,Tunggal,Buah,Cemilan
ER005,"Arbai, segar",37,0.8,0.5,8.3,0,28,27,0.8,2,43,63.52,18.9,0,0.03,0,0.1,60,Tunggal,Buah,Cemilan
ER006,"Belimbing, segar",36,0.4,0.4,8.8,3.3,4,12,1.1,4,130,0,0.1,0,0.03,0,0,35,Tunggal,Buah,Cemilan
ER007,"Biwah, segar",51,0.3,0.1,12.1,0.7,220,14,0.8,1,258.6,0.04,0.1,0,0.1,0.02,0,4,Tunggal,Buah,Cemilan
ER008,"Buah atung, segar",23,0.8,0.2,5.2,0,30,50,4.6,0,0,0,0,0,0.29,0,0,38,Tunggal,Buah,Cemilan
ER009,"Buah kelenting, segar",110,1.4,2.1,21.4,0,8,102,1.1,2,0,0.3,0.9,0,0.2,0.1,0,6,Tunggal,Buah,Cemilan
ER010,"Buah kom, segar",264,4,1.1,59.6,9,306,92,0.8,0,0,0,0,0,0.11,0,0,9,Tunggal,Buah,Cemilan
ER011,"Buah mentega (Bisbul), segar",39,0.7,0.2,9.7,2,43,17,0.8,1,90,0.06,0.1,0,0.02,0.01,0.1,33,Tunggal,Buah,Cemilan
ER012,"Buah Naga Merah, segar",71,1.7,3.1,9.1,3.2,13,14,0.4,128,128,0,0.4,0,0.5,0.3,0.5,1,Tunggal,Buah,Cemilan
ER013,"Buah Naga Putih, segar",56,0.8,1,10.9,3.2,13,27,0.5,231,231,0,0.4,0,0.02,0.5,0.9,1,Tunggal,Buah,Cemilan
ER014,"Buah negri, segar",55,1.2,0.1,12.2,5.2,30,40,0.2,10,0,0.1,0.3,0,0.33,0.03,0.1,9,Tunggal,Buah,Cemilan
ER015,"Buah nona, segar",101,1.7,0.6,25.2,2.8,27,20,0.8,5,312.5,325.7,0.1,0,0.08,0.16,0.9,22,Tunggal,Buah,Cemilan
ER016,"Buah rotan, segar",78,0.6,0.3,18.2,0,1,7,3.4,7,495,0.3,0.7,0,0.12,0,0,5,Tunggal,Buah,Cemilan
ER017,"Buah rukam, segar",113,0.8,0.3,26.8,7.7,108,52,1.2,2,219,0.3,0.9,0,0.06,0.01,0,20,Tunggal,Buah,Cemilan
ER018,"Buah ruruhi, segar",29,2.1,0.7,3.6,2.6,6,7,0,36,45,0,0.1,0,0.06,0.01,0,10,Tunggal,Buah,Cemilan
ER019,"Buah tuppa, segar",67,0.4,0.2,15.9,0,12,139,0.5,2,0,0.2,0.5,0,0.04,0.01,0,5,Tunggal,Buah,Cemilan
ER020,"Carica papaya, segar",24,1.9,0.2,3.7,1,51,33,1.8,0,0,0,0,0,0.32,0.07,0,85,Tunggal,Buah,Cemilan
ER021,"Cempedak, segar",116,3,0.4,28.6,3.4,20,30,1.5,26,243.7,0,0,0,0,0,0.5,15,Tunggal,Buah,Cemilan
ER022,"Duku, segar",63,1,0.2,16.1,4.3,18,9,0.9,2,147.5,0.09,0.2,0,0.05,0.15,1.5,9,Tunggal,Buah,Cemilan
ER023,"Durian, segar",134,2.5,3,28,3.5,7,44,1.3,1,601,0.12,0.3,0,0.1,0.19,136.5,53,Tunggal,Buah,Cemilan
ER024,"Duwet, segar",80,0.5,0.6,18.2,0.9,33,138,1.3,16,92.7,191.28,0.3,0,0.02,0.01,2.5,130,Tunggal,Buah,Cemilan
ER025,"Embacang, segar",98,1.4,0.2,25.4,1.9,21,15,0.5,3,250.9,0.13,0.1,0,0.03,0.09,0.7,56,Tunggal,Buah,Cemilan
ER026,"Encung asam, segar",122,3.5,4.5,17.5,9.3,63,69,3.2,0,0,0,0,0,0.02,0,0,0,Tunggal,Buah,Cemilan
ER027,"Erbis, segar",70,0.6,0,18.9,7.7,11,50,1.1,21,257.1,0.06,0.1,0,0,0.1,1.1,16,Tunggal,Buah,Cemilan
ER028,Gandaria masak,68,0.7,0.1,18,2.2,9,20,1,3,129,0,0,0,0.03,0.07,0.7,111,Tunggal,Buah,Cemilan
ER029,"Gatep, segar",191,4.5,1.5,39.7,13.4,186,69,3.2,17,403.3,0.69,1.4,0,0.05,0.2,1.8,0,Tunggal,Buah,Cemilan
ER030,"Jambu air, segar",46,0.6,0.2,11.8,2.1,8,9,1.1,11,321.2,0,0.1,0,0.02,0.38,4.6,5,Tunggal,Buah,Cemilan
ER033,"Jambu bol, segar",49,2.3,0.2,9.6,3.5,8,8,0.3,1,14,0,0,0,0.13,0.01,0.5,22,Tunggal,Buah,Cemilan
ER034,"Jambu monyet, segar",64,0.7,0.6,15.8,1.2,4,13,0.5,12,107.8,0,0,0,0.02,0,2,197,Tunggal,Buah,Cemilan
ER035,"Jeruk bali, segar",48,0.6,0.2,12.4,0.8,23,27,0.5,21,366.1,171.25,0.1,0,0.04,0,0.4,43,Tunggal,Buah,Cemilan
ER036,"Jeruk banjar, segar",61,0.8,0.2,14.1,0,9,13,0.2,3,79,0.1,0.1,0,0.12,0.03,0.3,31,Tunggal,Buah,Cemilan
ER037,Jeruk garut-keprok,44,0.8,0.3,10.9,1.6,33,23,0.4,5,518.1,169.3,0.2,0,0.07,0.03,0.2,31,Tunggal,Buah,Cemilan
ER038,"Jeruk Kalamansi, segar",39,0.3,0.3,8.9,2.3,42,85,0.5,82,82,0.3,0.1,0,0.02,0.1,0,30,Tunggal,Buah,Cemilan
ER039,"Jeruk manis, segar",45,0.9,0.2,11.2,1.4,33,23,0.4,4,472.1,160,0.2,0,0.08,0.03,0.2,49,Tunggal,Buah,Cemilan
ER040,"Jeruk nipis, segar",44,0.5,0.2,10,0.4,18,22,0.2,3,108.9,0.06,0.1,0,0.01,0.03,0.2,20,Tunggal,Buah,Cemilan
ER041,"Jeruk ragi, segar",49,0.7,0.2,11.1,0.5,36,67,0.7,4,457.3,155,0.2,0,0.03,0.03,0.2,30,Tunggal,Buah,Cemilan
ER042,"Kawista, segar",120,3.5,2.5,20.8,4.6,190,230,1.6,9,1015.6,308.43,0.4,0,0.07,0.07,0.4,3,Tunggal,Buah,Cemilan
ER043,"Kedondong masak, segar",46,1,0.1,10.3,2.6,15,22,2.8,2,216.2,0.03,0.1,0,0.08,0.23,0.3,30,Tunggal,Buah,Cemilan
ER044,"Kedondong, segar",47,0.5,0.2,10.4,2.7,7,58,0.8,2,0,0,0.2,0,0.07,0.04,0.4,32,Tunggal,Buah,Cemilan
