kode,nama_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitamin_c_mg,status_makanan,kelompok_makanan
AP001,Nasi,180,3,0.3,39.8,0.2,25,27,0.4,1,38,0.1,0.6,0,0.05,0.1,2.6,0,Olahan,Serealia
AP002,Nasi tim,120,2.4,0.4,26,0.5,3,7,0.4,0,23.9,0.1,0.4,0,0.1,0,1.4,0,Olahan,Serealia
AP003,Tapai beras,99,1.7,0.3,22.4,0,4,19,0,26,2,0.1,0.5,0,0,0,0,0,Olahan,Serealia
AP004,"Tepung beras, mentah",353,7,0.5,80,2.4,5,140,0.8,5,241,0.1,0.8,0,0.12,0.1,1.2,0,Olahan,Serealia
AP005,Nasi beras merah,149,2.8,0.4,32.5,0.3,6,63,0.8,5,91.4,0.2,0.9,0,0.06,0,1.6,0,Olahan,Serealia
AP006,"Bihun, mentah",348,4.7,0.1,82.1,1.2,6,35,1.8,12,5,0.08,0.7,0,0,0,0.2,0,Olahan,Serealia
AP007,Bihun goreng instan,381,6.1,3.9,80.3,0,266,151,2.9,928,0,0,0,58,0.37,0,0,0,Olahan,Serealia
AP008,"Bihun Jagung, mentah",354,0.5,0.3,87.4,3,13,111,0.6,49,1.4,0.4,0,0,0.02,0.02,0.3,0.2,Olahan,Serealia
AP009,Nasi jagung,357,8.8,0.5,79.5,6.2,5,43,0.6,2,30.4,0.1,0.3,0,0.3,0.02,0.1,0.2,Olahan,Serealia
AP010,"Jagung muda, rebus",142,5,0.7,30.3,0.8,5,105,0.8,5,24.3,0.2,0.9,0,0.15,0.08,0.7,0,Olahan,Serealia
AP011,"Jagung kuning, tepung",355,9.2,3.9,73.7,7.2,10,256,2.4,11,24.4,0.23,1.7,0,0.38,0.02,0.3,0,Olahan,Serealia
AP012,"Jagung kuning pipil, rebus",154,3.8,3.5,28.4,0.7,7,171,0.5,5,56.4,0.1,2,0,0.08,0.1,1.7,0,Olahan,Serealia
AP013,Tepung jagung putih,355,9.2,3.9,73.7,7.2,10,256,2.4,11,24.4,0.23,1.7,0,0.38,0.02,0.3,0,Olahan,Serealia
AP014,Ketupat ketan,212,4,4.6,38.6,0.2,8,46,1,0,0,0,0,0,0.07,0,0.2,0,Olahan,Serealia
AP015,"Ketan hitam, matang",181,4,1.2,37.3,0.3,9,144,1.7,9,18.4,0.1,0.7,0,0.06,0,0.5,0,Olahan,Serealia
AP016,Tapai ketan hitam,166,3.8,1,34.4,0.3,8,106,1.6,5,12,0,0,0,0.02,0,0,0,Olahan,Serealia
AP017,"Ketan putih, matang",163,3,0.4,35.7,0.2,4,55,0.7,8,16.8,0.1,0.7,0,0.07,0,0.5,0,Olahan,Serealia
AP018,Tapai ketan putih,172,3,0.5,37.5,0.6,6,35,0.5,1,0,0,0,0,0.04,0,0.2,0,Olahan,Serealia
AP019,"Maizena, tepung",341,0.3,0,85,7,20,30,1.5,6,9,0.22,1.6,0,0,0.09,1.3,0,Olahan,Serealia
AP020,"Makaroni, mentah",353,8.7,0.4,78.7,4.9,20,80,0.3,5,0,0.28,1.4,0,0.1,0.13,2.2,0,Olahan,Serealia
